amfi_code,scheme_name,avg_daily_return,downside_deviation,sortino_ratio
119551,SBI Bluechip Fund - Regular Plan - Growth,0.0011036803959241358,0.0050181191278209185,2.675458206716353
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.0010737211405742663,0.005441329305156895,2.3799661519865984
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.0013438685931767443,0.00728215741292063,2.367243174244282
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.001173068734455056,0.006384546429690521,2.275380700670638
120843,Kotak Flexicap Fund - Regular - Growth,0.0010467015657051723,0.005636072408963018,2.2216281491287786
118632,Nippon India Large Cap Fund - Regular - Growth,0.0009520354636144605,0.005089702974938736,2.164857042977771
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.0009576663515803756,0.005531403130731078,2.0081463319059507
119598,SBI Small Cap Fund - Regular Plan - Growth,0.001353927128957262,0.00899896337609923,1.9333684345343511
120505,ICICI Pru Midcap Fund - Regular - Growth,0.0011045705724502277,0.007122677367018215,1.886916734332034
119552,SBI Bluechip Fund - Direct Plan - Growth,0.0008503933998030177,0.005009685928433785,1.8773555318208872
149323,DSP Midcap Fund - Regular - Growth,0.0010440492532918363,0.006844454837783443,1.8232500989154024
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.0008620381654620227,0.005465358710319928,1.7546545474460131
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.0008123244087886753,0.005284654150156253,1.6653190243012588
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.0007870905274172663,0.0052554391239538435,1.5983554269501725
119094,Axis Midcap Fund - Regular - Growth,0.000965745936309043,0.007160397982033538,1.5692041652986508
120507,ICICI Pru Liquid Fund - Regular - Growth,0.0002711225486015158,0.00013931504543497622,1.5025075404427246
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.0006798821406638574,0.004542961415482836,1.4744081345463687
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.0007158585772474377,0.00518935345124188,1.400807934893928
102887,UTI Flexi Cap Fund - Regular - Growth,0.0007256770926872065,0.005679933487812103,1.3072603064783115
149324,DSP Small Cap Fund - Regular - Growth,0.0009710672078096606,0.009335778346195152,1.212603650718913
118633,Nippon India Large Cap Fund - Direct - Growth,0.0006169289874267342,0.004815840877617919,1.1833507552393223
101206,ABSL Frontline Equity Fund - Regular - Growth,0.0006437242438341802,0.005252558186521976,1.1659443324165477
149322,DSP Top 100 Equity Fund - Regular - Growth,0.000616008751114188,0.005538116270943686,1.0263816003434205
118635,Nippon India ETF Nifty 50 BeES,0.0005604803000602281,0.004780024979336865,1.0047507761478265
120841,Kotak Bluechip Fund - Regular - Growth,0.00047918019788906104,0.004857137027102107,0.7230874230937315
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.00040947700840066596,0.006843573902296115,0.3515167514867427
118634,Nippon India Small Cap Fund - Regular - Growth,0.0003838083897078528,0.009606237700714242,0.20800590611948425
101207,ABSL Small Cap Fund - Regular - Growth,0.00037683317136202144,0.009573224919967066,0.19715676113478792
102886,UTI Mid Cap Fund - Regular - Growth,0.000300571965629894,0.006699253333026541,0.10102870796123817
119092,Axis Bluechip Fund - Regular - Growth,0.0002873631045139611,0.005157021175841383,0.09058189270932715
119093,Axis Bluechip Fund - Direct - Growth,0.0002843268464967781,0.005229533757265168,0.08010917540968779
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.00019519328247825427,0.0050974201451411665,-0.19539645501832417
119599,SBI Small Cap Fund - Direct Plan - Growth,9.40175922956897e-05,0.00962788860999402,-0.27027027640191004
120842,Kotak Emerging Equity Fund - Regular - Growth,0.00011571729036391822,0.00696314228267674,-0.3242300668944076
120844,Kotak Liquid Fund - Regular - Growth,0.00025458697741462954,0.00015382060932028727,-0.3456763619207125
119095,Axis Small Cap Fund - Regular - Growth,-8.258503265846966e-06,0.00946060802243625,-0.4466641878939952
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.00020445734871891582,0.0014530074026350328,-0.5842746101278463
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.0001682514131785535,0.0014327038299789539,-0.9937202040241453
100025,HDFC Short Term Debt Fund - Regular - Growth,0.00014609788497574783,0.0014306129497711855,-1.2409947080658643
101208,ABSL Liquid Fund - Regular - Growth,0.00023180698453260367,0.00015158474830375847,-2.736379018745592
