amfi_code,scheme_name,avg_daily_return,std_daily_return,sharpe_ratio
119551,SBI Bluechip Fund - Regular Plan - Growth,0.0011036803959241358,0.008734551373495044,1.5370873017644862
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.0010737211405742663,0.009011325506045735,1.437100408746509
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.0013438685931767443,0.012101832977695778,1.4244649931361921
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.001173068734455056,0.01103428281741862,1.3165580372582815
118632,Nippon India Large Cap Fund - Regular - Growth,0.0009520354636144605,0.008740520532558674,1.2606204963327876
120843,Kotak Flexicap Fund - Regular - Growth,0.0010467015657051723,0.010103006868918341,1.2393594577077478
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.0009576663515803756,0.009838410922401168,1.1290305919199919
149323,DSP Midcap Fund - Regular - Growth,0.0010440492532918363,0.011138231179467288,1.1203891137593995
120505,ICICI Pru Midcap Fund - Regular - Growth,0.0011045705724502277,0.012219030190737657,1.0999153703100346
119598,SBI Small Cap Fund - Regular Plan - Growth,0.001353927128957262,0.015948934180888188,1.090876138653174
119552,SBI Bluechip Fund - Direct Plan - Growth,0.0008503933998030177,0.008718261201355394,1.0787657507862085
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.0008620381654620227,0.009424722625009001,1.017517108571392
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.0008123244087886753,0.009157591186590323,0.9610207437513465
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.0007870905274172663,0.008765791117045974,0.9582774141678
119094,Axis Midcap Fund - Regular - Growth,0.000965745936309043,0.012191815246149616,0.9216122547585063
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.0006798821406638574,0.008003603951060784,0.8368953919853085
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.0007158585772474377,0.009238329789735305,0.7868616575634386
102887,UTI Flexi Cap Fund - Regular - Growth,0.0007256770926872065,0.00991496207159616,0.7488835094311496
149324,DSP Small Cap Fund - Regular - Growth,0.0009710672078096606,0.01562788722635625,0.7243844763485853
120507,ICICI Pru Liquid Fund - Regular - Growth,0.0002711225486015158,0.00030817089586064746,0.6792396980856568
101206,ABSL Frontline Equity Fund - Regular - Growth,0.0006437242438341802,0.009177813787090754,0.6672820554365079
118633,Nippon India Large Cap Fund - Direct - Growth,0.0006169289874267342,0.008711668793597999,0.6541604226080658
149322,DSP Top 100 Equity Fund - Regular - Growth,0.000616008751114188,0.009058419906097816,0.6275068610180783
118635,Nippon India ETF Nifty 50 BeES,0.0005604803000602281,0.00808845499359665,0.5937764148773619
120841,Kotak Bluechip Fund - Regular - Growth,0.00047918019788906104,0.008523043601892148,0.41207517649689174
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.00040947700840066596,0.011714794985457687,0.2053498050696442
118634,Nippon India Small Cap Fund - Regular - Growth,0.0003838083897078528,0.015903059562098285,0.12564589659831316
101207,ABSL Small Cap Fund - Regular - Growth,0.00037683317136202144,0.016292177216959414,0.11584860597212394
102886,UTI Mid Cap Fund - Regular - Growth,0.000300571965629894,0.011366722208082195,0.05954371859808854
119092,Axis Bluechip Fund - Regular - Growth,0.0002873631045139611,0.008794061827836397,0.053119110144432644
119093,Axis Bluechip Fund - Direct - Growth,0.0002843268464967781,0.009005807286735508,0.04651816586045305
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.00019519328247825427,0.009091326380225742,-0.10955693200785119
119599,SBI Small Cap Fund - Direct Plan - Growth,9.40175922956897e-05,0.01604232745940253,-0.16220415163416682
120844,Kotak Liquid Fund - Regular - Growth,0.00025458697741462954,0.00032117159160570093,-0.1655568238536584
120842,Kotak Emerging Equity Fund - Regular - Growth,0.00011571729036391822,0.011255668093697227,-0.200579838470163
119095,Axis Small Cap Fund - Regular - Growth,-8.258503265846966e-06,0.015917017111891463,-0.2654840897398992
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.00020445734871891582,0.002459305233900767,-0.34520128773967135
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.0001682514131785535,0.002500281649728555,-0.5694185462615488
100025,HDFC Short Term Debt Fund - Regular - Growth,0.00014609788497574783,0.0024256695385432036,-0.731914661806236
101208,ABSL Liquid Fund - Regular - Growth,0.00023180698453260367,0.00031847723887271583,-1.3024269058864029
