amfi_code,date,nav,daily_return
100016,2022-01-04,5150971.0,-0.010305675278522441
100016,2022-01-05,5217239.0,0.012865147173222402
100016,2022-01-10,5107136.0,-0.008638609964712218
100016,2022-01-11,5135542.0,0.005562021453902943
100016,2022-01-12,5123195.0,-0.002404225298907159
100016,2022-01-13,5102445.0,-0.004050206950935942
100016,2022-01-14,5143636.0,0.00807279647306336
100016,2022-01-17,5147627.0,0.0007759102704778531
100016,2022-01-18,5173803.0,0.005085061524465528
100016,2022-01-19,5131866.0,-0.008105642986406703
100016,2022-01-20,5071294.0,-0.011803114110929602
100016,2022-01-25,5097762.0,0.006058737785328061
100016,2022-01-28,5038641.0,-0.013706135521617147
100016,2022-01-31,5125903.0,0.017318558714542354
100016,2022-02-01,5121124.0,-0.0009323235340192859
100016,2022-02-02,5155386.0,0.006690328138900803
100016,2022-02-03,5120153.0,-0.0068342118320529055
100016,2022-02-04,5136729.0,0.0032374032572854983
100016,2022-02-07,5080666.0,-0.01091414400097801
100016,2022-02-08,5103595.0,0.004512991013382983
100016,2022-02-09,5090223.0,-0.0026201138609156516
100016,2022-02-10,5094161.0,0.0007736399760875923
100016,2022-02-15,5047492.0,-0.005505537948964023
100016,2022-02-16,5070506.0,0.004559492120046915
100016,2022-02-17,5167872.0,0.019202422795673746
100016,2022-02-18,5164246.0,-0.0007016427651458379
100016,2022-02-21,5193918.0,0.005745659676165804
100016,2022-02-22,5191698.0,-0.0004274229974365884
100016,2022-02-23,5284118.0,0.017801497698826108
100016,2022-02-24,5206004.0,-0.014782788726519724
100016,2022-02-25,5213038.0,0.001351132269587163
100016,2022-02-28,5141489.0,-0.013725010253138437
100016,2022-03-01,5031674.0,-0.021358598647201243
100016,2022-03-02,5047495.0,0.003144281604889443
100016,2022-03-03,5056316.0,0.0017475995518569931
100016,2022-03-04,5046233.0,-0.0019941396067808537
100016,2022-03-09,5177387.0,-0.0017595636991558639
100016,2022-03-10,5203416.0,0.005027439517270027
100016,2022-03-11,5176372.0,-0.0051973549683516085
100016,2022-03-14,5192545.0,0.003124389050864096
100016,2022-03-16,516825.0,-0.0030997314980556467
