amfi_code,scheme_name,VaR_95_pct,CVaR_95_pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,-1.4126995686940413,-1.7493102910172857
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.3677876643579714,-0.4842027287213901
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-1.8854544799756723,-2.365439173910616
101206,ABSL Frontline Equity Fund - Regular - Growth,-1.3575756845714537,-1.749596754645415
101207,ABSL Small Cap Fund - Regular - Growth,-2.622648008073117,-3.2671029417437896
101208,ABSL Liquid Fund - Regular - Growth,-0.028041796350017908,-0.0423176048289222
102885,UTI Nifty 50 Index Fund - Regular - Growth,-1.2512330710552226,-1.5212621725632318
102886,UTI Mid Cap Fund - Regular - Growth,-1.87189670893812,-2.3014858289616367
102887,UTI Flexi Cap Fund - Regular - Growth,-1.5296595865382956,-1.9192053113417373
118632,Nippon India Large Cap Fund - Regular - Growth,-1.346486289427975,-1.7246915522345327
118633,Nippon India Large Cap Fund - Direct - Growth,-1.3434900823059381,-1.6260603620993852
118634,Nippon India Small Cap Fund - Regular - Growth,-2.6271525591992715,-3.255260323893046
118635,Nippon India ETF Nifty 50 BeES,-1.2430827914612474,-1.6188955404061511
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.389226539364802,-0.4861478121204805
119092,Axis Bluechip Fund - Regular - Growth,-1.3635679055243188,-1.7277090160779596
119093,Axis Bluechip Fund - Direct - Growth,-1.4636971240711216,-1.7855532622517705
119094,Axis Midcap Fund - Regular - Growth,-1.8417100269448299,-2.4263212797925817
119095,Axis Small Cap Fund - Regular - Growth,-2.628009312286137,-3.2096445235038407
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.3819720438432872,-0.4868001947583589
119551,SBI Bluechip Fund - Regular Plan - Growth,-1.3015875544983047,-1.6635037938363253
119552,SBI Bluechip Fund - Direct Plan - Growth,-1.3255953668293774,-1.6691184555025935
119598,SBI Small Cap Fund - Regular Plan - Growth,-2.451319065757956,-3.0904667154520262
119599,SBI Small Cap Fund - Direct Plan - Growth,-2.7317822421256244,-3.2723810797777295
120503,ICICI Pru Bluechip Fund - Regular - Growth,-1.361177052861734,-1.7295287895752374
120504,ICICI Pru Bluechip Fund - Direct - Growth,-1.435866653728901,-1.7787590105269635
120505,ICICI Pru Midcap Fund - Regular - Growth,-1.9178715571244231,-2.4703964316082065
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-1.4128503007909532,-1.8443283694687
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.02178490279999945,-0.03545407840519819
120841,Kotak Bluechip Fund - Regular - Growth,-1.3226749515793046,-1.6453555787240812
120842,Kotak Emerging Equity Fund - Regular - Growth,-1.8092575692725286,-2.3069934395213614
120843,Kotak Flexicap Fund - Regular - Growth,-1.4740573541463715,-1.8734887420482127
120844,Kotak Liquid Fund - Regular - Growth,-0.028981974654906376,-0.04139590368572495
125497,HDFC Top 100 Fund - Direct Plan - Growth,-1.3918502683399918,-1.7922734592425844
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-1.912998091536684,-2.3272785655062944
148567,Mirae Asset Large Cap Fund - Regular - Growth,-1.3699584351515166,-1.7836415263049792
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.4548865551336998,-1.891636153920796
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-1.7213309090289424,-2.100074278970203
149322,DSP Top 100 Equity Fund - Regular - Growth,-1.4443934955523419,-1.8370260012106947
149323,DSP Midcap Fund - Regular - Growth,-1.8308996949469283,-2.270501423371736
149324,DSP Small Cap Fund - Regular - Growth,-2.483252108374821,-3.1584495416268483
