amfi_code,scheme_name,alpha,beta
119598,SBI Small Cap Fund - Regular Plan - Growth,0.3442155551626369,-0.052946490063193956
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.3399019035853608,-0.024684156844924667
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.2971161112228038,0.051549414463675856
119551,SBI Bluechip Fund - Regular Plan - Growth,0.27886821800439326,-0.028275778426823946
120505,ICICI Pru Midcap Fund - Regular - Growth,0.2782563626455265,0.024881244738816317
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.27017184147361717,0.014389390516861942
120843,Kotak Flexicap Fund - Regular - Growth,0.26368226347301876,0.007926549247722268
149323,DSP Midcap Fund - Regular - Growth,0.2633203099658611,0.008676467065239757
119094,Axis Midcap Fund - Regular - Growth,0.24847979002081255,-0.0862294368532025
149324,DSP Small Cap Fund - Regular - Growth,0.2446951725137103,-0.003926679543699785
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.24053537267872285,-0.05953358244726714
118632,Nippon India Large Cap Fund - Regular - Growth,0.24021680077408705,-0.011496499612672633
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.21775073615003002,0.039879275907863165
119552,SBI Bluechip Fund - Direct Plan - Growth,0.21473745737847644,-0.03548116993907192
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.2060192148552383,0.06775498938395279
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.19771187631478276,-0.04410140092367287
102887,UTI Flexi Cap Fund - Regular - Growth,0.18170758308901408,0.015672438217959012
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.18064928535313848,0.025094206622695205
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.17220450135178117,-0.021186068472401856
101206,ABSL Frontline Equity Fund - Regular - Growth,0.15851810972530864,0.0319798351427687
118633,Nippon India Large Cap Fund - Direct - Growth,0.15800714035936667,-0.042247631568504196
149322,DSP Top 100 Equity Fund - Regular - Growth,0.1552860709461163,-0.002394239858043472
118635,Nippon India ETF Nifty 50 BeES,0.14119004293772386,-0.019107143348319203
120841,Kotak Bluechip Fund - Regular - Growth,0.11954539225983547,0.03379764014639545
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.10302623711387203,0.003171790989067332
101207,ABSL Small Cap Fund - Regular - Growth,0.0983384333327943,-0.04665376346885735
118634,Nippon India Small Cap Fund - Regular - Growth,0.0907223361626697,0.09990322718651848
102886,UTI Mid Cap Fund - Regular - Growth,0.0758082498976944,-0.05728036312506852
119092,Axis Bluechip Fund - Regular - Growth,0.07144965477239823,0.019127083194841715
119093,Axis Bluechip Fund - Direct - Growth,0.06834719401169224,0.05615906998885551
120507,ICICI Pru Liquid Fund - Regular - Growth,0.06830809699963664,0.0001805493245055104
120844,Kotak Liquid Fund - Regular - Growth,0.06417022115216037,-0.0005967839328868432
101208,ABSL Liquid Fund - Regular - Growth,0.058394244300800244,0.0012170941605068174
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.0517388391575306,-0.009564380621137007
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.051405918743919296,-0.04478060650724675
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.04242761937132309,0.0028891174412617694
100025,HDFC Short Term Debt Fund - Regular - Growth,0.036812319440755956,0.002358755173308606
120842,Kotak Emerging Equity Fund - Regular - Growth,0.029150393546619746,0.008524555374858675
119599,SBI Small Cap Fund - Direct Plan - Growth,0.0206341846548073,0.06923819553613582
119095,Axis Small Cap Fund - Regular - Growth,0.004727522656894574,-0.07227295150968903
