amfi_code,scheme_name,return_3yr_pct,sharpe_ratio,sortino_ratio,alpha,beta,maximum_drawdown,return_score,sharpe_score,sortino_score,alpha_score,mdd_score,overall_score,rank
119598,SBI Small Cap Fund - Regular Plan - Growth,23.39,1.090876138653174,1.9333684345343511,0.3442155551626369,-0.0529464900631939,-13.35,1.0,0.8428565133046264,0.8628765535129972,1.0,0.6443875919411576,0.8977281982228719,1
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,16.58,1.424464993136192,2.367243174244282,0.3399019035853608,-0.0246841568449246,-13.67,0.6268493150684931,0.960337473105491,0.9430479854379284,0.9872936564348463,0.6341541413495362,0.8282582224846868,2
148567,Mirae Asset Large Cap Fund - Regular - Growth,14.81,1.437100408746509,2.3799661519865984,0.2701718414736171,0.0143893905168619,-17.07,0.5298630136986302,0.9647873242723812,0.9453989389519136,0.7818959533197468,0.5254237288135593,0.7590622888473849,3
120505,ICICI Pru Midcap Fund - Regular - Growth,18.08,1.0999153703100346,1.886916734332034,0.2782563626455265,0.0248812447388163,-21.84,0.709041095890411,0.8460398858802962,0.8542932021912375,0.8057098153644203,0.3728813559322033,0.7532255485733281,4
120843,Kotak Flexicap Fund - Regular - Growth,15.65,1.2393594577077478,2.2216281491287786,0.2636822634730187,0.0079265492477222,-19.5,0.575890410958904,0.8951483168302066,0.916141221792044,0.762780174914543,0.4477134633834345,0.7389708194291565,5
149324,DSP Small Cap Fund - Regular - Growth,20.08,0.7243844763485853,1.212603650718913,0.2446951725137103,-0.0039266795436997,-17.01,0.8186301369863012,0.7137880757116393,0.7296935412035471,0.70685157319281,0.5273425007994882,0.7287367543233798,6
119551,SBI Bluechip Fund - Regular Plan - Growth,12.36,1.5370873017644862,2.675458206716353,0.2788682180043932,-0.0282757784268239,-21.7,0.3956164383561644,1.0,1.0,0.8075121038113816,0.3773584905660376,0.7275475961351604,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,13.58,1.3165580372582817,2.275380700670638,0.2971161112228038,0.0515494144636758,-22.62,0.4624657534246575,0.9223355657414912,0.9260736253922413,0.8612633158459381,0.3479373201151262,0.7185215719296215,8
149323,DSP Midcap Fund - Regular - Growth,17.16,1.1203891137593995,1.8232500989154024,0.2633203099658611,0.0086764670652397,-26.99,0.6586301369863015,0.8532501838228808,0.8425288728582914,0.7617140003443054,0.2081867604732971,0.7144831377222444,9
118632,Nippon India Large Cap Fund - Regular - Growth,14.0,1.2606204963327876,2.164857042977771,0.240216800774087,-0.0114964996126726,-16.07,0.4854794520547945,0.9026358788109684,0.9056510492709808,0.6936600279516753,0.557403261912376,0.7122223455573655,10
120506,ICICI Pru Value Discovery Fund - Regular - Growth,14.76,1.017517108571392,1.7546545474460131,0.21775073615003,0.0398792759078631,-21.89,0.5271232876712328,0.8170214497278636,0.8298537777636612,0.6274837198849779,0.3712823792772625,0.659613900196541,11
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,1.129030591919992,2.0081463319059507,0.2405353726787228,-0.0595335824472671,-33.15,0.5161643835616438,0.8562934783897149,0.8766940233030677,0.6945984171558085,0.0111928365845859,0.6495705355583653,12
102887,UTI Flexi Cap Fund - Regular - Growth,15.34,0.7488835094311496,1.3072603064783117,0.181707583089014,0.015672438217959,-12.14,0.558904109589041,0.7224159716441736,0.7471842106039592,0.5213145780893643,0.6830828269907259,0.6442175373210248,13
119094,Axis Midcap Fund - Regular - Growth,15.18,0.9216122547585064,1.5692041652986508,0.2484797900208125,-0.0862294368532025,-32.38,0.5501369863013699,0.7832463576524388,0.7955862315642219,0.7179995876873656,0.0358170770706745,0.6312515774765374,14
119552,SBI Bluechip Fund - Direct Plan - Growth,11.3,1.0787657507862085,1.8773555318208872,0.2147374573784764,-0.0354811699390719,-24.43,0.3375342465753425,0.8385915626893645,0.8525264819236428,0.6186077699750127,0.2900543652062679,0.6032100630465511,15
101207,ABSL Small Cap Fund - Regular - Growth,22.38,0.1158486059721239,0.1971567611347879,0.0983384333327943,-0.0466537634688573,-23.61,0.9446575342465752,0.4994782234359224,0.5420591303224164,0.2757414156397881,0.3162775823472976,0.5896676127781344,16
120504,ICICI Pru Bluechip Fund - Direct - Growth,14.41,0.7868616575634386,1.400807934893928,0.1806492853531384,0.0250942066226952,-26.59,0.507945205479452,0.7357908468358382,0.764469953784757,0.5181972436488412,0.2209785737128237,0.5890527080283551,17
101206,ABSL Frontline Equity Fund - Regular - Growth,13.78,0.6672820554365079,1.1659443324165475,0.1585181097253086,0.0319798351427687,-15.07,0.4734246575342465,0.6936781495988491,0.7210718261817353,0.4530073886059968,0.5893827950111927,0.5865506876883521,18
125497,HDFC Top 100 Fund - Direct Plan - Growth,13.38,0.9610207437513464,1.6653190243012588,0.2060192148552383,0.0677549893839527,-33.5,0.4515068493150685,0.7971249601565771,0.813346347953237,0.592927210755033,0.0,0.5863416460375672,19
120503,ICICI Pru Bluechip Fund - Regular - Growth,11.54,0.9582774141678,1.5983554269501723,0.1977118763147827,-0.0441014009236728,-25.91,0.3506849315068492,0.796158833776172,0.8009728055569446,0.5684570152104668,0.2427246562200191,0.5739807669110587,20
102885,UTI Nifty 50 Index Fund - Regular - Growth,12.1,0.8368953919853085,1.4744081345463689,0.1722045013517811,-0.0211860684724018,-24.42,0.3813698630136986,0.7534113730114274,0.7780698084341471,0.4933221871143682,0.290374160537256,0.5614135079646766,21
118633,Nippon India Large Cap Fund - Direct - Growth,12.33,0.6541604226080658,1.1833507552393223,0.1580071403593666,-0.0422476315685041,-18.14,0.393972602739726,0.6890570658961909,0.7242881872985996,0.4515022711437683,0.4912056283978253,0.5521595882670332,22
149322,DSP Top 100 Equity Fund - Regular - Growth,12.82,0.6275068610180783,1.0263816003434203,0.1552860709461163,-0.0023942398580434,-21.7,0.4208219178082192,0.6796704033754783,0.6952834060466093,0.4434870566068485,0.3773584905660376,0.5394797649432883,23
